time,open,high,low,close,EMA Direction (debug),Order Sent Long,Order Sent Short,Volume,Volume MA
1785719100,28624.5,28635,28623.25,28629.75,1,0,0,1363,1003.65
1785719160,28630.25,28631.5,28617.5,28617.75,1,0,0,666,1010.7
1785719220,28617.5,28624.5,28603.5,28609.5,1,0,0,1410,1032.15
1785719280,28609.75,28617,28605.5,28608,1,0,0,694,951.7
1785719340,28608.5,28622.75,28605,28616.75,1,0,0,852,943.95
1785719400,28616.5,28627.75,28615,28617,1,0,0,753,932
1785719460,28617.25,28620.25,28603.25,28606.25,1,0,0,800,869.15
1785719520,28606.5,28614.25,28604.75,28606.5,1,0,0,632,848.8
1785719580,28606.25,28607.25,28584.5,28588.25,1,0,0,1548,889.45
1785719640,28588,28595.5,28584,28591.75,-1,0,0,898,883.75
1785719700,28592.5,28594.25,28585.5,28592,-1,0,0,597,881.65
1785719760,28591,28593,28580,28581.75,-1,0,0,1024,910.6
1785719820,28581.75,28584.25,28577.75,28580.75,-1,0,0,763,922.15
1785719880,28581.5,28583.25,28570.75,28576,-1,0,0,1309,956.3
1785719940,28576.25,28576.25,28564,28569.5,-1,0,0,1007,956.7
1785720000,28569.25,28581.75,28565.75,28578.75,-1,0,0,1003,947.15
1785720060,28579.25,28585.25,28576.5,28580.25,-1,0,0,900,939.25
1785720120,28579.5,28584,28568.75,28580,-1,0,0,804,942.65
1785720180,28580.5,28591.25,28578,28587.75,-1,0,0,870,952.35
1785720240,28588.25,28594.75,28583.5,28591.5,-1,0,0,667,928
1785720300,28591,28605,28590.25,28602,1,0,0,1308,925.25
1785720360,28602,28605,28597.25,28602.25,1,0,0,623,923.1
1785720420,28602.5,28615.75,28602.5,28607.75,1,0,0,1015,903.35
1785720480,28608,28612.75,28598.25,28608.25,1,0,0,769,907.1
1785720540,28607.75,28613.25,28605.5,28608.25,1,0,0,461,887.55
1785720600,28607,28618,28605,28613.5,1,0,0,783,889.05
1785720660,28613.75,28617.25,28608.5,28610,1,0,0,535,875.8
1785720720,28610,28615.25,28597.25,28598,1,0,0,912,889.8
1785720780,28598,28607.25,28595.5,28605.25,1,0,0,756,850.2
1785720840,28604.75,28605,28595,28598.75,1,0,0,519,831.25
1785720900,28598.25,28599,28588.5,28592.75,-1,0,0,850,843.9
1785720960,28592.75,28593.5,28578.25,28578.75,-1,0,0,1160,850.7
1785721020,28580,28589.25,28578.25,28583.75,-1,0,0,826,853.85
1785721080,28582.5,28594,28581,28590.5,-1,0,0,932,835
1785721140,28591.25,28601.75,28590.25,28601.75,1,0,0,727,821
1785721200,28602,28610.5,28598.75,28609,1,0,0,1047,823.2
1785721260,28609.5,28625,28604.75,28624.75,1,0,0,1218,839.1
1785721320,28624.75,28628.25,28618.25,28626.25,1,0,0,1238,860.8
1785721380,28626.25,28629,28617.5,28620.75,1,0,0,708,852.7
